2907.26234694, 6165.66064453
2907.26302804, 4173.79443359
2907.26370904, 3886.79858398
2907.26439014, 3902.00366211
2907.26507134, 6082.03271484
2907.85015344, 10628.3525391
2908.40935304, 17947.6972656
2909.22397264, 6243.58642578
2909.22465374, 4430.38037109
2909.22533484, 3993.23413086
2909.22601604, 3966.62524414
2909.22669714, 7235.71875
2909.22737834, 6633.21728516
2909.22805944, 6866.99511719
2909.22874054, 6992.43652344
2909.22942154, 6834.68359375
2909.23010274, 6866.99462891
2909.23078384, 6714.94384766
2909.23146504, 6564.79394531
2909.23214614, 6777.66503906
2909.23282724, 7108.37548828
2909.23350834, 7961.76025391
2909.23418954, 8269.6640625
2909.23487064, 8286.76953125
2909.23555164, 8260.16113281
2909.23623284, 8214.54589844
2909.23691394, 8288.67089844
2909.23759504, 8214.54589844
2909.23827624, 8250.65722656
2909.23895734, 8446.42285156
2909.23963844, 7918.046875
2909.24031954, 7752.69091797
2909.24100064, 7688.06982422
2909.24168174, 7781.20068359
2909.24236284, 7722.28125
2909.24304404, 7904.74169922
2911.18559844, 6532.48291016
2911.18627964, 4130.08007812
2911.18696074, 3913.4074707
2911.18764184, 3917.20874023
2911.18832304, 5833.04931641
2911.04801224, 9773.06640625
2913.14722434, 6777.66503906
2913.14790534, 4122.47753906
2913.14858644, 3993.23413086
2913.14926764, 3959.02270508
2913.14994874, 5757.02441406
2914.26630454, 9660.92871094
2913.82970654, 9537.38671875
2915.10885004, 6576.19775391
2915.10953114, 4177.59570312
2915.11021234, 4249.81982422
2915.11089344, 4124.37792969
2915.11157464, 4122.47753906
2915.11225574, 4054.05444336
2915.11293674, 4057.85571289
2915.11361784, 7121.68066406
2915.11429904, 4019.84301758
2915.11498014, 4031.24682617
2915.11566124, 4029.34619141
2915.11634244, 4038.84936523
2915.11702354, 4042.65063477
2915.11770464, 4548.21972656
2915.11838574, 7205.30810547
2915.11906684, 8001.67431641
2915.11974794, 8233.55175781
2915.12042914, 8284.86914062
2915.12111024, 8132.81835938
2915.12179134, 8275.36523438
2915.12247244, 8598.47363281
2915.12315364, 8746.72363281
2915.12383464, 8969.09863281
2915.12451574, 8959.59472656
2915.12519694, 8965.296875
2915.12587804, 8950.09179688
2915.12655914, 8889.27148438
2915.12724034, 8912.07910156
2915.12792144, 9020.41503906
2917.07047594, 7796.40576172
2917.07115704, 4164.29150391
2917.07183814, 4156.68896484
2917.07251914, 4103.47119141
2917.07320034, 4168.09277344
2917.07388144, 4686.96582031
2917.07456254, 4899.83740234
2917.07524374, 4137.68261719
2917.07592484, 6363.32666016
2917.07660604, 8623.18164062
2917.07728714, 8619.37988281
2917.07796814, 8925.3828125
2917.35586524, 11027.484375
2917.15493484, 9421.44726562
2917.16106494, 9512.6796875
2917.16651384, 9429.04980469
2916.02768104, 9801.57617188
2919.03210164, 6315.81103516
2919.03278274, 4291.63378906
2919.03346384, 4202.30419922
2919.03414504, 4158.58935547
2919.03482614, 4227.01220703
2919.03550734, 4130.08007812
2919.03618844, 4103.47119141
2919.03686954, 7121.68066406
2919.03755054, 4677.46289062
2919.03823174, 4095.8684082
2919.03891284, 4112.97412109
2919.03959404, 4185.19824219
2919.04027514, 5481.43212891
2919.04095624, 6878.3984375
2919.04163734, 7115.97753906
2919.04231854, 7342.15332031
2919.04299954, 7077.96582031
2919.04368064, 7028.54833984
2919.04436184, 6808.07519531
2919.04504294, 6880.29980469
2919.04572404, 6777.66503906
2919.04640524, 6884.10058594
2919.04708634, 6903.10693359
2919.04776744, 6920.21337891
2919.04844854, 6939.21923828
2919.04912964, 7038.05273438
2919.04981074, 6884.10058594
2919.05049184, 6908.80908203
2919.05117304, 7260.42675781
2920.26016114, 8761.92773438
2920.26084224, 6412.74365234
2920.26152334, 6840.38671875
2920.26220454, 7887.63623047
2920.26288564, 8807.54296875
2917.67326714, 9852.89257812
2917.94026624, 9432.85253906
2917.96206204, 9394.83984375
2917.98113344, 9429.05078125
2918.25017574, 9562.09570312
2919.43941144, 9522.18164062
2920.67768784, 9717.94628906
2920.76418994, 9611.51171875
2920.99372744, 5696.203125
2920.99440864, 4367.65917969
2920.99508974, 4227.01220703
2920.99577084, 4285.93212891
2920.99645204, 4249.81982422
2920.99713304, 4396.16894531
2920.99781414, 4306.83886719
2920.99849534, 4225.11181641
2920.99917644, 4303.03759766
2920.99985754, 4173.79443359
2921.00053874, 4158.58935547
2921.00121984, 4154.78808594
2921.00190094, 4156.68896484
2921.00258204, 4156.68896484
2921.00326314, 4215.60839844
2921.00394424, 4196.60205078
2921.00462544, 4217.50927734
2921.00530654, 4219.40966797
2921.00598764, 4208.00585938
2921.00666874, 4253.62109375
2921.00734994, 4249.81982422
2921.00803094, 4208.00585938
2921.00871204, 4265.02490234
2921.00939324, 4278.32958984
2921.01007434, 4299.23632812
2921.01075544, 4291.63378906
2921.01143654, 4278.32958984
2921.01211774, 4335.34863281
2921.01279884, 5015.77636719
2922.95534174, 7507.50927734
2922.95602284, 4373.36132812
2922.95670384, 4200.40332031
2922.95738504, 4242.21728516
2922.95806614, 6313.91015625
2922.01675824, 10082.8691406
2920.98964074, 9961.22949219
2922.95057384, 9769.26464844
2924.86384014, 11044.5908203
2924.91696744, 6581.90087891
2924.91764854, 4403.77148438
2924.91832974, 4299.23632812
2924.91901084, 4276.42871094
2924.91969194, 4379.06298828
2924.92037314, 4310.64013672
2924.92105424, 4369.56005859
2924.92173524, 6905.0078125
2924.92241644, 9100.24121094
2924.92377864, 8940.58789062
2924.92445984, 9007.11132812
2926.39091124, 7382.06689453
